States,Regestired Firearms 10,Regestired Firearms 11,Regestired Firearms 12,Regestired Firearms 13,Regestired Firearms 14,Regestired Firearms 15,Regestired Firearms 16,Regestired Firearms 17,Regestired Firearms 18
Alabama,2050,2103,2241,2404,2394,2385,2351,2327,2275
Alaska,988,997,998,1011,975,952,927,912,891
Arizona,2641,2723,2895,3062,3189,3202,3212,3256,3256
Arkansas,1744,1812,1938,2009,2042,2018,1985,1950,1949
California,7177,7535,7989,8435,8564,8261,7745,7631,7925
Colorado,2295,2361,2611,2829,2893,2967,2961,3005,3005
Connecticut,1561,1643,1721,1808,1843,1826,1817,1803,1798
Delaware,301,314,326,345,350,340,327,315,305
District of Columbia ,25,27,26,23,25,28,28,29,28
Florida,5995,6374,6951,7494,7634,7507,7319,7298,7170
Georgia,3234,3326,3601,3807,3833,3087,3723,3653,3526
Hawaii,256,254,278,308,300,288,259,246,245
Idaho,1265,1283,1307,1403,1423,1429,1452,1448,1466
Illinois,4103,4349,4584,5077,5239,5295,5350,5411,5326
Indiana,2541,2667,2825,2961,2983,2994,2925,2878,2816
Iowa,1844,1916,2018,2158,2188,2172,2132,2097,2058
Kansas,1699,1759,1826,1939,1919,1952,1931,1881,1845
Kentucky,2179,2241,2346,2473,2547,2507,2427,2410,2321
Louisiana,1858,1931,2040,2157,2184,2176,2156,2102,2065
Maine,856,861,913,3826,978,967,966,961,934
Maryland,2261,2495,2780,3175,3411,3417,3305,3205,3096
Massachusetts,3165,3290,3524,974,3993,4039,4002,4105,4109
Michigan,4059,4055,4177,4366,4350,4262,4199,4125,4032
Minnesota,2606,2639,2682,2722,2720,2676,2612,2584,2502
Mississippi,1340,1362,1418,1504,1562,4560,1557,1527,1504
Missouri,5500,5990,6015,5934,5437,5091,4939,4767,4588
Montana,1414,1423,1467,1524,1551,1543,1554,1547,1524
Nebraska,1061,1085,1115,1138,1170,1165,1172,1173,1138
Nevada,1160,1188,1285,1361,1406,1368,1333,1333,1331
New Hampshire,969,1018,1088,1176,1192,1187,1183,1193,1206
New Jersey,491,481,509,545,565,550,532,523,497
New Mexico,1005,1026,1076,1150,1161,1154,1155,1112,1070
New York,3729,3774,3928,4130,4180,4081,4007,3960,3887
North Carolina,3757,3966,4331,4728,4828,4819,4757,4690,4589
North Dakota,601,611,620,638,663,666,672,684,685
Ohio,4218,4446,4712,5014,5087,5027,4898,4792,4646
Oklahoma,2104,2189,2301,2461,2509,2483,2439,2434,2402
Oregon,2317,2376,2509,2608,2542,2481,2426,2358,2255
Pennsylvania,5446,5649,5891,6227,6325,6347,6300,6298,6250
Rhode Island,432,452,504,602,613,610,600,631,637
South Carolina,1758,1899,2047,2209,2243,2240,2192,2168,2121
South Dakota,678,691,742,798,817,803,794,772,776
Tennessee,2952,3086,3316,3516,3500,3482,3384,3305,3191
Texas,8383,8912,9614,10532,10829,10910,10954,10920,10733
Utah,1032,1071,1133,1241,1316,1361,1387,1424,1451
Vermont,526,538,553,558,544,551,549,538,535
Virginia,3629,3813,4183,4441,4508,4374,4244,4137,4030
Washington,2340,2529,2724,2871,2889,2857,2780,2755,2910
West Virginia,1347,1337,1420,1469,1518,1497,1460,1434,1376
Wisconsin,2757,2830,2959,3130,3161,3141,3072,2991,2938
Wyoming,764,770,806,871,896,901,888,865,861
Other Territories,74,84,93,102,117,124,125,118,117
